sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.DX.A6BA.01A	0.95	0.352	0.52	4	3.54	3.56	0.0427	0.31	0	0
TCGA.DX.A6BB.01A	0.96	0.338	0.576	4	4.17	4.16	0.201	0.137	0	0
TCGA.DX.A6BE.01A	0.99	0.23	0.0299	2	2.02	2.02	0.12	0.11	0	0
TCGA.DX.A6BF.01A	0.66	0.454	0.0522	2	2.03	2.02	0.27	0.183	0.00592	0.00197
TCGA.DX.A6BG.01A	0.85	0.0483	0.154	2	2.03	2.02	0.0297	0.0186	0	0
TCGA.DX.A6BH.01A	0.61	0.153	0.038	2	2.03	2.02	0.0792	0.0734	0.00386	0
TCGA.DX.A6BK.01A	0.15	0.357	0.541	2	1.96	1.99	0.158	0.199	0.0888	0.0541
TCGA.DX.A6YQ.01A	0.8	0.754	0.468	4	3.15	3.32	0.095	0.659	0	0
TCGA.DX.A6YR.01A	0.85	0.634	0.262	4	3.79	3.82	0.222	0.412	0	0
TCGA.DX.A6YS.01A	0.91	0.79	0.256	4	3.54	3.58	0.163	0.626	0	0
TCGA.DX.A6YT.01A	0.89	0.583	0.213	2	1.78	1.8	0.26	0.322	0.119	0
TCGA.DX.A6YU.01A	0.68	0.605	0.567	4	3.28	3.51	0.104	0.501	0	0
TCGA.DX.A6YV.01A	0.95	0.666	0.509	4	3.25	3.29	0.0947	0.571	0	0.0155
TCGA.DX.A6YX.01A	0.82	0.978	0.432	2	2.33	2.27	0.525	0.453	0	0.21
TCGA.DX.A6YZ.01A	0.64	0.485	0.298	4	3.73	3.82	0.131	0.354	0	0
TCGA.DX.A6Z0.01A	0.68	0.881	0.0561	2	1.64	1.75	0.147	0.734	0.0221	0.0221
TCGA.DX.A6Z2.01A	0.71	0.464	0.0547	2	1.9	1.93	0.179	0.284	0.0199	0
TCGA.DX.A7EF.01A	0.89	0.662	0.189	4	3.83	3.85	0.239	0.423	0	0
TCGA.DX.A7EI.01A	0.95	0.476	0.304	2	1.86	1.87	0.13	0.345	0.137	0.00181
TCGA.DX.A7EL.01A	0.69	0.32	0.193	2	2.04	2.03	0.142	0.178	0.00561	0
TCGA.DX.A7EN.01A	0.93	0.403	0.0216	2	1.82	1.83	0.115	0.289	0.00174	0
TCGA.DX.A7EO.01A	0.73	0.324	0.0764	2	1.9	1.93	0.136	0.188	0.0248	0
TCGA.DX.A7EQ.01A	0.93	0.255	0.0687	2	1.98	1.98	0.107	0.148	0.0175	0
TCGA.DX.A7ER.01A	0.25	0.0127	0.125	2	2.01	2	0.00795	0.00477	0	0
TCGA.DX.A7ES.01A	0.37	0.0134	0.444	2	2.02	2.01	0.00893	0.00446	0	0
TCGA.DX.A7ET.01A	0.39	0.421	0.277	2	2.26	2.1	0.279	0.142	0	0
TCGA.DX.A8BG.01A	0.47	0.708	0.458	4	3.93	3.97	0.298	0.411	0.00192	0
TCGA.DX.A8BH.01A	0.49	0.257	0.218	2	2.12	2.06	0.175	0.0824	0	0.0214
TCGA.DX.A8BJ.01A	0.83	0.891	0.00396	2	1.68	1.73	0.185	0.705	0.00176	0.00176
TCGA.DX.A8BK.01A	0.54	0.612	0.427	4	4.04	4.02	0.172	0.44	0	0
TCGA.DX.A8BL.01A	0.72	0.566	0.381	4	3.86	3.9	0.187	0.378	0	0
TCGA.DX.A8BM.01A	0.85	0.757	0.189	4	3.28	3.39	0.0865	0.67	0	0
TCGA.DX.A8BN.01A	0.75	0.361	0.216	2	1.9	1.93	0.0829	0.278	0.039	0
TCGA.DX.A8BO.01A	0.58	0.344	0.0978	2	1.8	1.88	0.0411	0.303	0.00748	0.0168
TCGA.DX.A8BP.01A	0.3	0.332	0.303	2	2.5	2.15	0.27	0.0616	0.00901	0
TCGA.DX.A8BR.01A	0.65	0.396	0.126	2	1.78	1.86	0.0722	0.324	0.0333	0.00926
TCGA.DX.A8BT.01A	0.52	0.946	0.686	2	3.67	2.87	0.907	0.0388	0	0.0742
TCGA.DX.A8BU.01A	0.93	0.48	0.465	4	3.73	3.74	0.145	0.335	0	0
TCGA.DX.A8BV.01A	0.6	0.521	0.0712	2	1.93	1.96	0.168	0.352	0.00773	0.0108
TCGA.DX.A8BX.01A	0.7	0.814	0.102	2	2.12	2.08	0.305	0.509	0	0.0588
TCGA.DX.A8BZ.01A	0.69	0.48	0.0621	2	1.86	1.9	0.187	0.293	0.0282	0
TCGA.DX.AATS.01A	0.88	0.847	0.213	4	3.75	3.78	0.25	0.597	0	0
TCGA.DX.AB2E.01A	0.73	0.771	0.259	4	3.93	3.95	0.312	0.459	0	0
TCGA.DX.AB2F.01A	0.8	0.524	0.147	4	3.7	3.76	0.12	0.404	0	0
TCGA.DX.AB2G.01A	0.69	0.305	0.0662	2	2.02	2.01	0.141	0.164	0.0101	0
TCGA.DX.AB2H.01A	0.97	0.0948	0.0426	2	2.01	2.01	0.0423	0.0524	0.00202	0
TCGA.DX.AB2J.01A	0.78	0.188	0.157	2	2.1	2.08	0.0914	0.0968	0	0
TCGA.DX.AB2L.01A	0.05	0	NaN	2	2.01	2	0	0	0	0
TCGA.DX.AB2O.01A	0.94	0.699	0.241	4	3.46	3.49	0.154	0.545	0	0
TCGA.DX.AB2P.01A	0.86	0.475	0.297	4	3.88	3.9	0.157	0.317	0	0
TCGA.DX.AB2Q.01A	0.78	0.775	0.0481	2	1.84	1.87	0.267	0.507	0.0146	0
TCGA.DX.AB2S.01A	0.99	0.117	0.0156	2	2.01	2.01	0.0679	0.0495	0	0
TCGA.DX.AB2T.01A	0.82	0.563	0.255	4	3.65	3.72	0.176	0.387	0	0
TCGA.DX.AB2V.01A	0.78	0.845	0.0657	2	1.19	1.37	0.0538	0.792	0.0556	0
TCGA.DX.AB2W.01A	0.63	0.664	0.106	2	1.68	1.8	0.11	0.553	0.00345	0.0414
TCGA.DX.AB2X.01A	0.82	0.679	0.0558	2	1.67	1.73	0.0776	0.602	0.00862	0
TCGA.DX.AB2Z.01A	0.31	0.676	0.291	2	2.27	2.08	0.445	0.231	0.0139	0.00994
TCGA.DX.AB30.01A	0.92	0.983	0.0856	2	1.43	1.48	0.0748	0.908	0.0804	0
TCGA.DX.AB32.01A	0.49	0.174	0.0505	2	1.96	1.98	0.0246	0.149	0	0.00527
TCGA.DX.AB35.01A	0.92	0.595	0.203	4	3.75	3.77	0.2	0.395	0	0.00198
TCGA.DX.AB36.01A	0.55	0.222	0.045	2	2.02	2.01	0.0838	0.138	0.002	0
TCGA.DX.AB37.01A	0.57	0.48	0.0694	2	2.06	2.03	0.222	0.259	0.0137	0
TCGA.DX.AB3A.01A	0.76	0.291	0.057	2	2	2	0.103	0.188	0.00184	0
