sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.IG.A4P3.01A	0.48	0.371	0.553	4	4.05	4.02	0.125	0.246	0	0
TCGA.IG.A4QS.01A	0.82	0.892	0.389	6	5.77	5.81	0.358	0.533	0	0
TCGA.IG.A4QT.01A	0.6	0.011	0	2	2	2	0	0.011	0	0
TCGA.IG.A50L.01A	0.54	0.747	0.58	4	3.64	3.8	0.214	0.534	0	0
TCGA.IG.A51D.01A	0.49	0.743	0.642	4	4.08	4.04	0.2	0.543	0	0
TCGA.IG.A5B8.01A	0.45	0.5	0.108	2	2.24	2.11	0.324	0.176	0	0.00538
TCGA.IG.A5S3.01A	0.74	0.821	0.162	4	3.95	3.96	0.349	0.472	0	0
TCGA.IG.A625.01A	0.72	0.618	0.255	2	2.19	2.14	0.36	0.259	0.0141	0.0586
TCGA.IG.A6QS.01A	0.69	0.584	0.183	2	1.84	1.89	0.148	0.436	0.0597	0.0416
TCGA.IG.A7DP.01A	0.61	0.196	0	2	2	2	0.0633	0.133	0	0
TCGA.IG.A8O2.01A	0.77	0.541	0.244	4	3.79	3.84	0.166	0.375	0	0
TCGA.IG.A97H.01A	0.5	0.432	0.205	2	2.15	2.08	0.241	0.191	0	0.00394
TCGA.IG.A97I.01A	0.64	0.293	0.327	2	1.9	1.94	0.0707	0.223	0.0598	0.0254
TCGA.JY.A6F8.01A	0.73	0.568	0.411	4	4.67	4.49	0.409	0.159	0	0
TCGA.JY.A6FA.01A	0.81	0.565	0.233	2	1.88	1.9	0.121	0.444	0.0494	0.042
TCGA.JY.A6FB.01A	0.73	0.544	0.0719	2	1.95	1.96	0.222	0.322	0.00372	0.0261
TCGA.JY.A6FD.01A	0.31	0.358	0.177	2	2.04	2.01	0.193	0.164	0.0263	0
TCGA.JY.A6FE.01A	0.73	0.791	0.084	2	1.71	1.79	0.186	0.605	0.0113	0.0243
TCGA.JY.A6FG.01A	0.74	0.246	0.0451	2	2.05	2.04	0.146	0.1	0.0037	0
TCGA.JY.A6FH.01A	0.77	0.519	0.0406	2	1.66	1.74	0.104	0.415	0.00451	0.0135
TCGA.JY.A938.01A	0.37	0.297	0.281	2	1.79	1.92	0.0543	0.242	0.0543	0
TCGA.JY.A939.01A	0.72	0.0296	0.0909	2	2.01	2.01	0.0121	0.0175	0	0
TCGA.JY.A93C.01A	0.8	0.479	0.316	4	3.74	3.79	0.0934	0.386	0	0
TCGA.JY.A93D.01A	0.28	0.472	0.273	2	2.24	2.07	0.29	0.182	0.0209	0.0417
TCGA.JY.A93E.01A	0.48	0.496	0.166	2	2.13	2.06	0.245	0.251	0.0134	0.023
TCGA.JY.A93F.01A	0.41	0.281	0.147	2	2.1	2.04	0.178	0.103	0	0
TCGA.KH.A6WC.01A	0.5	0.1	0	2	2	2	0.0463	0.0537	0	0
TCGA.L5.A43C.01A	0.16	0.151	0.375	2	1.92	1.99	0.00943	0.142	0.0362	0.0173
TCGA.L5.A43E.01A	0.73	0.644	0.431	4	4.25	4.18	0.311	0.332	0	0
TCGA.L5.A43H.01A	0.57	0.344	0.0995	2	2.07	2.04	0.168	0.176	0.00156	0.00778
TCGA.L5.A43I.01A	0.69	0.458	0.101	2	1.93	1.95	0.121	0.337	0.00774	0.0217
TCGA.L5.A43J.01A	0.79	0.508	0.467	4	3.98	3.98	0.179	0.329	0	0
TCGA.L5.A4OE.01A	0.53	0.473	0.343	4	3.68	3.83	0.101	0.372	0	0
TCGA.L5.A4OF.01A	0.57	0.339	0.195	2	2.04	2.02	0.142	0.197	0	0.0298
TCGA.L5.A4OG.01A	0.5	0.683	0.165	2	1.96	1.98	0.33	0.353	0	0.0833
TCGA.L5.A4OH.01A	0.8	0.528	0.127	2	1.82	1.85	0.0906	0.437	0.0497	0.0117
TCGA.L5.A4OI.01A	0.8	0.416	0.182	2	2.19	2.15	0.307	0.109	0	0.0156
TCGA.L5.A4OJ.01A	0.79	0.407	0.114	2	1.83	1.87	0.0941	0.313	0.0444	0
TCGA.L5.A4OM.01A	0.85	0.595	0.0924	2	1.9	1.92	0.173	0.422	0.0432	0
TCGA.L5.A4ON.01A	0.78	0.631	0.15	2	2.01	2.01	0.221	0.41	0.00464	0.0355
TCGA.L5.A4OO.01A	0.24	0.221	0.222	2	2.07	2.02	0.124	0.0966	0.0131	0
TCGA.L5.A4OP.01A	0.69	0.425	0.0776	2	1.77	1.84	0.104	0.321	0.00549	0.0238
TCGA.L5.A4OQ.01A	0.64	0.239	0.273	2	2.11	2.07	0.136	0.102	0	0.0104
TCGA.L5.A4OR.01A	0.79	0.56	0.308	4	3.93	3.95	0.207	0.353	0	0
TCGA.L5.A4OS.01A	0.19	0.413	0.359	2	2.19	2.04	0.226	0.187	0.05	0.013
TCGA.L5.A4OT.01A	0.61	0.591	0.13	2	2.01	2	0.231	0.36	0.0067	0.0402
TCGA.L5.A4OU.01A	0.2	0.303	0.183	2	2.08	2.02	0.16	0.143	0.0185	0
TCGA.L5.A4OW.01A	0.57	0.527	0.181	2	2.17	2.1	0.328	0.199	0	0.0428
TCGA.L5.A4OX.01A	0.62	0.565	0.0245	2	1.98	1.99	0.307	0.258	0	0.0052
TCGA.L5.A88S.01A	0.41	0.509	0.189	2	1.95	1.98	0.189	0.32	0.0157	0.0511
TCGA.L5.A88T.01A	0.85	0.0166	0	2	2	2	0.00554	0.0111	0	0
TCGA.L5.A88V.01A	0.92	0.486	0.218	2	1.76	1.78	0.0574	0.429	0.0869	0.0103
TCGA.L5.A88W.01A	0.09	0.19	1	2	2.02	2	0.122	0.0681	0.134	0.018
TCGA.L5.A88Y.01A	0.57	0.803	0.311	4	4.01	4.01	0.394	0.408	0	0
TCGA.L5.A88Z.01A	0.8	0.404	0.0585	2	1.94	1.96	0.159	0.244	0.0197	0.00394
TCGA.L5.A891.01A	0.89	0.495	0.375	4	3.39	3.45	0.0418	0.453	0	0
TCGA.L5.A893.01A	0.37	0.358	0.4	4	3.96	3.99	0.11	0.248	0	0
